technology,file,legacy_names,vendor_website,vendor_demo_url,vendor_docs_url,customer_url_1,customer_url_2,customer_url_3,unverifiable_public,priority,notes
Blackboard Web Community Manager,higher-ed-cms.json,,https://www.blackboard.com,,,,,,,medium,
Cascade CMS,higher-ed-cms.json,,https://www.hannonhill.com/products/cascade-cms/index.html,,https://www.hannonhill.com/products/cascade-cms/,,,,,medium,
Finalsite,higher-ed-cms.json,,https://www.finalsite.com,,,,,,,medium,
Ingeniux CMS,higher-ed-cms.json,,https://www.ingeniux.com,,,,,,,medium,
Modern Campus CMS,higher-ed-cms.json,OmniCMS,https://moderncampus.com/solutions/cms/,https://moderncampus.com/request-demo.html,https://moderncampus.com/products/cms/services.html,https://ou-campus.sdsu.edu/,https://www.alaska.edu/oucampus-training/resources/,,,high,"SDSU (ou-campus subdomain is live OU Campus deployment), Univ of Alaska confirmed"
SchoolMessenger,higher-ed-cms.json,,https://www.schoolmessenger.com,,,,,,,medium,
TerminalFour,higher-ed-cms.json,,https://www.terminalfour.com,,https://docs.terminalfour.com,https://www.ncl.ac.uk/,https://www.qmul.ac.uk/,https://www.exeter.ac.uk/,,medium,T4 decoupled — signals not guaranteed on homepage. Newcastle fires; QMUL and Exeter are known T4 sites. Scan inner content pages for data-t4- attributes.
Absorb LMS,higher-ed-lms.json,,https://www.absorblms.com,,,,,,,medium,
Blackboard Collaborate,higher-ed-lms.json,,https://www.blackboard.com/teaching-learning/collaboration-web-conferencing/blackboard-collaborate,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
Blackboard Learn,higher-ed-lms.json,,https://www.blackboard.com/teaching-learning/learning-management,,https://docs.anthology.com,,,,,low,
Blackboard Ultra,higher-ed-lms.json,,https://www.blackboard.com/teaching-learning/learning-management/blackboard-learn/ultra-experience,,,,,,,medium,
Brightspace Core,higher-ed-lms.json,,https://www.d2l.com/brightspace/core/,https://www.d2l.com/brightspace/,https://docs.valence.desire2learn.com/,https://purdue.brightspace.com/,https://brightspace.usc.edu/,,,high,"Targets Valence API surface (brightspace.*core, valence.*api). Same instances as D2L Brightspace but looking for API-layer signals."
Brightspace Portfolio,higher-ed-lms.json,,https://www.d2l.com/brightspace/portfolio/,,https://community.d2l.com/brightspace/kb/articles/23416-about-brightspace-eportfolio,https://www.torontomu.ca/courses/students/tutorials/eportfolio/,https://www.uakron.edu/learn/ols/brightspace/eportfolio,,,high,Toronto Metropolitan Univ and Univ of Akron confirmed; ePortfolio module within Brightspace
Cambridge Core,higher-ed-lms.json,,https://www.cambridge.org/core,,,,,,,medium,
Canvas LMS,higher-ed-lms.json,,,,https://canvas.instructure.com/doc/api/,,,,,low,
Cengage MindTap,higher-ed-lms.json,,https://www.cengage.com/mindtap/,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
Cengage WebAssign,higher-ed-lms.json,,https://www.webassign.net,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
Cornerstone OnDemand,higher-ed-lms.json,,https://www.cornerstoneondemand.com,,,,,,,medium,
Coursera for Campus,higher-ed-lms.json,,https://www.coursera.org/campus,,,,,,,medium,
D2L Brightspace,higher-ed-lms.json,,https://www.d2l.com/brightspace/,https://www.d2l.com/brightspace/,https://docs.valence.desire2learn.com/,https://purdue.brightspace.com/,https://brightspace.usc.edu/,https://www.eiu.edu/d2l/,,high,"Purdue, USC, Eastern Illinois; brightspace.* subdomains are live deployment URLs"
Docebo,higher-ed-lms.json,,https://www.docebo.com,,,,,,,medium,
Edmodo,higher-ed-lms.json,,https://new.edmodo.com,,,,,,,medium,
ExamSoft,higher-ed-lms.json,,https://examsoft.com,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
FutureLearn,higher-ed-lms.json,,https://www.futurelearn.com,,,,,,,medium,
Google Classroom,higher-ed-lms.json,,https://classroom.google.com,,,,,,,low,
Honorlock,higher-ed-lms.json,,https://honorlock.com,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
Instructure Canvas Catalog,higher-ed-lms.json,,https://www.instructure.com/canvas/catalog,https://www.instructure.com/try-canvas,https://www.instructure.com/higher-education/products/canvas/canvas-catalog,https://ut.pdx.catalog.canvaslms.com,https://oithost.utk.edu/canvas-catalog/html/,,,high,Portland State confirmed at *.catalog.canvaslms.com — subdomain pattern is Tier A. UTK /canvas-catalog/ path also confirmed.
Kahoot!,higher-ed-lms.json,,https://kahoot.com,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
LearnDash,higher-ed-lms.json,,https://www.learndash.com,,,,,,,medium,
MATLAB Grader,higher-ed-lms.json,,https://grader.mathworks.com,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
Macmillan Achieve,higher-ed-lms.json,,https://www.macmillanlearning.com/college/us/digital/achieve,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
McGraw-Hill ALEKS,higher-ed-lms.json,,https://www.aleks.com,,,,,,true,medium,Accessed via LMS integration; no public-facing URL. Detectable only from scraped navigation links.
